Timestamp,DateTime,Countdown,ValidLeftGaze,ValidRightGaze,X,Y,XPixels,YPixels,ValidLeftPupil,LeftPupilDiameter,ValidRightPupil,RightPupilDiameter,LeftGazeOriginInTrackBoxCoordinatesX,LeftGazeOriginInTrackBoxCoordinatesY,LeftGazeOriginInTrackBoxCoordinatesZ,LeftGazeOriginInUserCoordinatesX,LeftGazeOriginInUserCoordinatesY,LeftGazeOriginInUserCoordinatesZ,LeftGazePointInUserCoordinatesX,LeftGazePointInUserCoordinatesY,LeftGazePointInUserCoordinatesZ,LeftGazePointOnDisplayAreaX,LeftGazePointOnDisplayAreaY,LeftGazeRayScreenOriginX,LeftGazeRayScreenOriginY,LeftGazeRayScreenOriginZ,LeftGazeRayScreenDirectionX,LeftGazeRayScreenDirectionY,LeftGazeRayScreenDirectionZ,RightGazeOriginInTrackBoxCoordinatesX,RightGazeOriginInTrackBoxCoordinatesY,RightGazeOriginInTrackBoxCoordinatesZ,RightGazeOriginInUserCoordinatesX,RightGazeOriginInUserCoordinatesY,RightGazeOriginInUserCoordinatesZ,RightGazePointInUserCoordinatesX,RightGazePointInUserCoordinatesY,RightGazePointInUserCoordinatesZ,RightGazePointOnDisplayAreaX,RightGazePointOnDisplayAreaY,RightGazeRayScreenOriginX,RightGazeRayScreenOriginY,RightGazeRayScreenOriginZ,RightGazeRayScreenDirectionX,RightGazeRayScreenDirectionY,RightGazeRayScreenDirectionZ,PanelNameLooked
2024-06-10 06:08:12.664,2024-06-10 06:08:12.664,0,True,True,0.2012306,0.7371336,217.329,504.7034,True,3.985718,True,3.994247,0.6652073,0.3858965,0.290071,-66.95332,46.0898,538.9404,-98.37773,55.28893,13.2865,0.2012306,0.7371336,-284.784,53.88788,25.65704,-0.5091336,-0.2273061,0.8301295,0.5172446,0.3774301,0.2914362,-7.127898,49.92451,543.3829,-101.6456,53.98205,12.81083,0.1914534,0.7437913,-284.79,53.88557,25.65704,-0.5205718,-0.231366,0.8218728,VIRTUAL TPV LOW QUALITY
2024-06-10 06:08:12.722,2024-06-10 06:08:12.722,119.9544,True,True,0.2045616,0.7530999,220.9265,474.0482,True,3.970581,True,3.993027,0.6666754,0.3860136,0.290137,-67.54296,46.03934,538.9044,-97.26441,52.15483,12.14579,0.2045616,0.7530999,-284.782,53.88235,25.65704,-0.5030954,-0.2424327,0.8295308,0.5187504,0.3771025,0.2915477,-7.742823,50.06141,543.4179,-102.4833,52.6406,12.32259,0.188947,0.750625,-284.7916,53.88321,25.65704,-0.5228427,-0.2369688,0.8188292,VIRTUAL TPV LOW QUALITY
2024-06-10 06:08:12.772,2024-06-10 06:08:12.772,119.875,True,True,0.2104037,0.3414909,227.236,1264.338,True,3.979965,True,3.976974,0.667368,0.3841897,0.2903212,-67.82256,46.77699,538.8989,-95.31181,132.9517,41.55344,0.2104037,0.3414909,-284.7784,54.02494,25.65704,-0.5047981,0.1554155,0.8491318,0.5204311,0.3749429,0.2917805,-8.429075,50.94502,543.4424,-95.04114,142.5926,45.06243,0.2112136,0.2923767,-284.7779,54.04195,25.65704,-0.49945,0.2019783,0.8424693,FPV
2024-06-10 06:08:12.819,2024-06-10 06:08:12.819,119.8236,True,True,0.2165481,0.2918157,233.8719,1359.714,True,3.996841,True,3.99469,0.6684526,0.3841282,0.2910994,-68.30306,46.83037,539.2273,-93.25818,142.7027,45.10252,0.2165481,0.2918157,-284.7746,54.04214,25.65704,-0.4924205,0.2034272,0.8462502,0.5212362,0.3745552,0.2926508,-8.764329,51.1421,543.8558,-97.04076,145.8112,46.23393,0.2052308,0.2759799,-284.7815,54.04763,25.65704,-0.5054749,0.2160826,0.8353463,FPV
2024-06-10 06:08:12.867,2024-06-10 06:08:12.867,119.7781,True,True,0.2172931,0.2918002,234.6766,1359.744,True,3.990189,True,3.987656,0.6692325,0.3841132,0.2912318,-68.62217,46.83869,539.2531,-93.00916,142.7058,45.10363,0.2172931,0.2918002,-284.7741,54.04215,25.65704,-0.4914395,0.203575,0.8467847,0.5218327,0.374405,0.2928824,-9.009681,51.21339,543.9614,-96.94027,145.3726,46.07426,0.2055315,0.2782145,-284.7813,54.04686,25.65704,-0.5053297,0.2140829,0.8359488,FPV
2024-06-10 06:08:12.919,2024-06-10 06:08:12.919,119.7282,True,True,0.2187486,0.2938842,236.2485,1355.742,True,3.996368,True,3.973587,0.6697536,0.3841554,0.2912914,-68.83377,46.82201,539.2577,-92.52271,142.2967,44.95477,0.2187486,0.2938842,-284.7732,54.04143,25.65704,-0.4897172,0.201868,0.8481901,0.5222356,0.3743335,0.2929293,-9.17455,51.24429,543.9792,-98.20625,145.0237,45.9473,0.2017437,0.279992,-284.7837,54.04624,25.65704,-0.5103345,0.211745,0.8335003,FPV
2024-06-10 06:08:12.966,2024-06-10 06:08:12.966,119.6781,True,True,0.2202275,0.2971079,237.8457,1349.553,True,3.969284,True,3.951004,0.6701382,0.3842214,0.291395,-68.99387,46.79824,539.2917,-92.02843,141.6639,44.72442,0.2202275,0.2971079,-284.7723,54.04031,25.65704,-0.4880548,0.1990943,0.8498024,0.5225682,0.3743228,0.2930564,-9.311481,51.25436,544.0399,-97.6887,145.2751,46.03879,0.2032921,0.2787111,-284.7827,54.04668,25.65704,-0.5082225,0.2132127,0.8344162,FPV
2024-06-10 06:08:13.010,2024-06-10 06:08:13.010,119.6299,True,True,0.2192788,0.299069,236.8211,1345.788,True,3.943787,True,3.926239,0.6704075,0.3842946,0.2912202,-69.09044,46.76015,539.1942,-92.3455,141.279,44.5843,0.2192788,0.299069,-284.7729,54.03963,25.65704,-0.489504,0.1970841,0.8494373,0.5228052,0.374329,0.2928746,-9.406691,51.24315,543.9479,-98.33637,145.0119,45.94294,0.2013543,0.2800522,-284.7839,54.04622,25.65704,-0.5108305,0.2116189,0.8332284,FPV
2024-06-10 06:08:13.055,2024-06-10 06:08:13.055,119.5838,True,True,0.2306452,0.3060563,249.0968,1332.372,True,3.915375,True,3.901062,0.6704391,0.3845611,0.2905841,-69.06389,46.62569,538.8874,-88.54652,139.9074,44.08508,0.2306452,0.3060563,-284.7659,54.03721,25.65704,-0.4748476,0.1923233,0.8587966,0.5228558,0.3744951,0.2922971,-9.422462,51.14882,543.6665,-95.88335,142.8133,45.14273,0.2086937,0.2912526,-284.7794,54.04234,25.65704,-0.5025889,0.2025854,0.8404545,FPV
2024-06-10 06:08:13.101,2024-06-10 06:08:13.101,119.5402,True,True,0.2500933,0.3273312,270.1007,1291.524,True,3.89386,True,3.876968,0.6703549,0.3847165,0.2898273,-68.98318,46.53132,538.523,-82.0464,135.7312,42.56509,0.2500933,0.3273312,-284.7539,54.02984,25.65704,-0.4494306,0.17467,0.8760723,0.5227755,0.3746176,0.2914568,-9.382591,51.06,543.2535,-88.95882,139.12,43.79852,0.2294116,0.3100673,-284.7666,54.03582,25.65704,-0.4768911,0.1882938,0.858557,FPV
