Logging Start for Participant: 11, Environment: Environment 1, Strategy: Strategy 3 
Time Remaining: 00:58, Left Stick: (0.00, 0.01), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (-0.03, 0.36), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (-0.03, 0.40), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (-0.03, 0.40), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (-0.03, 0.40), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (-0.03, 0.40), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (-0.03, 0.40), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (-0.03, 0.40), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (-0.03, 0.44), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (-0.03, 0.44), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (-0.03, 0.44), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (-0.03, 0.44), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (-0.03, 0.44), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (-0.03, 0.44), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (-0.03, 0.44), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (-0.03, 0.44), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (-0.03, 0.44), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (-0.03, 0.44), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (-0.03, 0.44), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (-0.03, 0.44), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (-0.03, 0.44), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (-0.03, 0.44), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (-0.03, 0.44), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (-0.03, 0.44), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (-0.03, 0.44), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (-0.03, 0.44), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (-0.03, 0.44), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (-0.03, 0.44), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (-0.03, 0.44), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (-0.03, 0.44), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (-0.03, 0.44), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (-0.03, 0.44), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (-0.03, 0.44), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (-0.01, 0.44), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (0.02, 0.50), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (0.06, 0.50), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (0.09, 0.50), Right Stick: (-0.01, 0.09), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (0.15, 0.54), Right Stick: (-0.02, 0.30), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (0.15, 0.54), Right Stick: (-0.05, 0.64), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:58, Left Stick: (0.15, 0.54), Right Stick: (-0.09, 0.97), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.20, 0.41), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.20, 0.41), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.19, 0.29), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.12, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.12, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.12, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.12, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.12, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.12, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.12, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
