ParticipantID,InterfaceID,Environment,TimeInsideBuilding,DistinctCubesVisited,RevisitedCubes
10,3,1,73.46,190,25
11,1,1,61.10,246,40
12,1,1,66.58,180,31
13,3,1,48.44,134,19
14,1,1,57.60,157,48
15,1,1,78.04,169,33
16,1,1,51.13,154,29
17,3,1,47.67,220,37
18,3,1,65.38,182,47
19,4,1,109.65,155,25
1,1,1,95.23,114,14
20,3,1,46.09,159,23
21,3,1,73.07,157,27
22,3,1,51.26,279,45
23,1,1,69.32,172,23
24,1,1,55.18,172,20
25,1,1,67.63,178,13
26,4,1,30.46,141,20
27,3,1,38.47,196,35
28,2,1,85.34,168,45
29,1,1,68.99,150,32
2,4,1,35.39,168,28
30,4,1,53.40,89,17
3,3,1,52.33,174,35
4,2,1,44.08,198,30
5,1,1,56.77,132,25
6,4,1,47.13,162,28
7,4,1,32.02,136,25
8,3,1,19.74,177,40
9,3,1,42.88,252,33
